timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1505699004937,1,HTTP Request,200,OK,Thread Group 1-1,text,true,,748,122,1,1,1,0,1
1505699004939,0,HTTP Request,200,OK,Thread Group 1-2,text,true,,748,122,1,1,0,0,0
1505699004940,0,HTTP Request,200,OK,Thread Group 1-3,text,true,,748,122,1,1,0,0,0
1505699004941,0,HTTP Request,200,OK,Thread Group 1-4,text,true,,748,122,1,1,0,0,0
1505699004942,0,HTTP Request,200,OK,Thread Group 1-5,text,true,,748,122,1,1,0,0,0
1505699004943,0,HTTP Request,200,OK,Thread Group 1-6,text,true,,748,122,1,1,0,0,0
1505699004944,0,HTTP Request,200,OK,Thread Group 1-7,text,true,,748,122,1,1,0,0,0
1505699004945,0,HTTP Request,200,OK,Thread Group 1-8,text,true,,748,122,1,1,0,0,0
1505699004946,0,HTTP Request,200,OK,Thread Group 1-9,text,true,,748,122,1,1,0,0,0
1505699004947,1,HTTP Request,200,OK,Thread Group 1-10,text,true,,748,122,1,1,1,0,1
1505699004948,0,HTTP Request,200,OK,Thread Group 1-11,text,true,,748,122,1,1,0,0,0
1505699004949,0,HTTP Request,200,OK,Thread Group 1-12,text,true,,748,122,1,1,0,0,0
1505699004950,0,HTTP Request,200,OK,Thread Group 1-13,text,true,,748,122,1,1,0,0,0
1505699004951,0,HTTP Request,200,OK,Thread Group 1-14,text,true,,748,122,1,1,0,0,0
1505699004952,1,HTTP Request,200,OK,Thread Group 1-15,text,true,,748,122,1,1,1,0,0
1505699004953,0,HTTP Request,200,OK,Thread Group 1-16,text,true,,748,122,1,1,0,0,0
1505699004954,1,HTTP Request,200,OK,Thread Group 1-17,text,true,,748,122,1,1,1,0,0
1505699004955,1,HTTP Request,200,OK,Thread Group 1-18,text,true,,748,122,1,1,1,0,0
1505699004956,1,HTTP Request,200,OK,Thread Group 1-19,text,true,,748,122,1,1,1,0,0
1505699004957,1,HTTP Request,200,OK,Thread Group 1-20,text,true,,748,122,1,1,1,0,0
1505699004958,1,HTTP Request,200,OK,Thread Group 1-21,text,true,,748,122,1,1,1,0,0
1505699004959,1,HTTP Request,200,OK,Thread Group 1-22,text,true,,748,122,1,1,1,0,1
1505699004960,1,HTTP Request,200,OK,Thread Group 1-23,text,true,,748,122,1,1,1,0,1
1505699004962,0,HTTP Request,200,OK,Thread Group 1-24,text,true,,748,122,1,1,0,0,0
1505699004963,0,HTTP Request,200,OK,Thread Group 1-25,text,true,,748,122,1,1,0,0,0
1505699004964,0,HTTP Request,200,OK,Thread Group 1-26,text,true,,748,122,1,1,0,0,0
1505699004965,0,HTTP Request,200,OK,Thread Group 1-27,text,true,,748,122,1,1,0,0,0
1505699004966,0,HTTP Request,200,OK,Thread Group 1-28,text,true,,748,122,1,1,0,0,0
1505699004967,0,HTTP Request,200,OK,Thread Group 1-29,text,true,,748,122,1,1,0,0,0
1505699004968,0,HTTP Request,200,OK,Thread Group 1-30,text,true,,748,122,1,1,0,0,0
1505699004969,0,HTTP Request,200,OK,Thread Group 1-31,text,true,,748,122,1,1,0,0,0
1505699004970,0,HTTP Request,200,OK,Thread Group 1-32,text,true,,748,122,1,1,0,0,0
1505699004971,0,HTTP Request,200,OK,Thread Group 1-33,text,true,,748,122,1,1,0,0,0
1505699004972,0,HTTP Request,200,OK,Thread Group 1-34,text,true,,748,122,1,1,0,0,0
1505699004973,0,HTTP Request,200,OK,Thread Group 1-35,text,true,,748,122,1,1,0,0,0
1505699004974,0,HTTP Request,200,OK,Thread Group 1-36,text,true,,748,122,1,1,0,0,0
1505699004975,0,HTTP Request,200,OK,Thread Group 1-37,text,true,,748,122,1,1,0,0,0
1505699004976,0,HTTP Request,200,OK,Thread Group 1-38,text,true,,748,122,1,1,0,0,0
1505699004977,0,HTTP Request,200,OK,Thread Group 1-39,text,true,,748,122,1,1,0,0,0
1505699004978,0,HTTP Request,200,OK,Thread Group 1-40,text,true,,748,122,1,1,0,0,0
1505699004979,1,HTTP Request,200,OK,Thread Group 1-41,text,true,,748,122,1,1,1,0,1
1505699004980,1,HTTP Request,200,OK,Thread Group 1-42,text,true,,748,122,1,1,1,0,0
1505699004981,1,HTTP Request,200,OK,Thread Group 1-43,text,true,,748,122,1,1,1,0,0
1505699004982,1,HTTP Request,200,OK,Thread Group 1-44,text,true,,748,122,1,1,1,0,1
1505699004983,1,HTTP Request,200,OK,Thread Group 1-45,text,true,,748,122,1,1,1,0,1
1505699004984,1,HTTP Request,200,OK,Thread Group 1-46,text,true,,748,122,1,1,1,0,1
1505699004986,0,HTTP Request,200,OK,Thread Group 1-47,text,true,,748,122,1,1,0,0,0
1505699004987,0,HTTP Request,200,OK,Thread Group 1-48,text,true,,748,122,1,1,0,0,0
1505699004988,0,HTTP Request,200,OK,Thread Group 1-49,text,true,,748,122,1,1,0,0,0
1505699004989,0,HTTP Request,200,OK,Thread Group 1-50,text,true,,748,122,1,1,0,0,0
1505699004990,0,HTTP Request,200,OK,Thread Group 1-51,text,true,,748,122,1,1,0,0,0
1505699004991,0,HTTP Request,200,OK,Thread Group 1-52,text,true,,748,122,1,1,0,0,0
1505699004992,0,HTTP Request,200,OK,Thread Group 1-53,text,true,,748,122,1,1,0,0,0
1505699004993,0,HTTP Request,200,OK,Thread Group 1-54,text,true,,748,122,1,1,0,0,0
1505699004994,0,HTTP Request,200,OK,Thread Group 1-55,text,true,,748,122,1,1,0,0,0
1505699004995,0,HTTP Request,200,OK,Thread Group 1-56,text,true,,748,122,1,1,0,0,0
1505699004996,0,HTTP Request,200,OK,Thread Group 1-57,text,true,,748,122,1,1,0,0,0
1505699004997,0,HTTP Request,200,OK,Thread Group 1-58,text,true,,748,122,1,1,0,0,0
1505699004998,0,HTTP Request,200,OK,Thread Group 1-59,text,true,,748,122,1,1,0,0,0
1505699004999,0,HTTP Request,200,OK,Thread Group 1-60,text,true,,748,122,1,1,0,0,0
1505699005000,0,HTTP Request,200,OK,Thread Group 1-61,text,true,,748,122,1,1,0,0,0
1505699005001,0,HTTP Request,200,OK,Thread Group 1-62,text,true,,748,122,1,1,0,0,0
1505699005002,0,HTTP Request,200,OK,Thread Group 1-63,text,true,,748,122,1,1,0,0,0
1505699005003,0,HTTP Request,200,OK,Thread Group 1-64,text,true,,748,122,1,1,0,0,0
1505699005004,0,HTTP Request,200,OK,Thread Group 1-65,text,true,,748,122,1,1,0,0,0
1505699005005,0,HTTP Request,200,OK,Thread Group 1-66,text,true,,748,122,1,1,0,0,0
1505699005006,1,HTTP Request,200,OK,Thread Group 1-67,text,true,,748,122,1,1,1,0,0
1505699005007,1,HTTP Request,200,OK,Thread Group 1-68,text,true,,748,122,1,1,1,0,0
1505699005008,1,HTTP Request,200,OK,Thread Group 1-69,text,true,,748,122,1,1,1,0,0
1505699005009,1,HTTP Request,200,OK,Thread Group 1-70,text,true,,748,122,1,1,1,0,1
1505699005011,0,HTTP Request,200,OK,Thread Group 1-71,text,true,,748,122,1,1,0,0,0
1505699005011,1,HTTP Request,200,OK,Thread Group 1-72,text,true,,748,122,1,1,1,0,1
1505699005012,1,HTTP Request,200,OK,Thread Group 1-73,text,true,,748,122,1,1,1,0,1
1505699005014,0,HTTP Request,200,OK,Thread Group 1-74,text,true,,748,122,1,1,0,0,0
1505699005015,0,HTTP Request,200,OK,Thread Group 1-75,text,true,,748,122,1,1,0,0,0
1505699005016,0,HTTP Request,200,OK,Thread Group 1-76,text,true,,748,122,1,1,0,0,0
1505699005017,0,HTTP Request,200,OK,Thread Group 1-77,text,true,,748,122,1,1,0,0,0
1505699005018,0,HTTP Request,200,OK,Thread Group 1-78,text,true,,748,122,1,1,0,0,0
1505699005019,0,HTTP Request,200,OK,Thread Group 1-79,text,true,,748,122,1,1,0,0,0
1505699005020,0,HTTP Request,200,OK,Thread Group 1-80,text,true,,748,122,1,1,0,0,0
1505699005021,0,HTTP Request,200,OK,Thread Group 1-81,text,true,,748,122,1,1,0,0,0
1505699005022,0,HTTP Request,200,OK,Thread Group 1-82,text,true,,748,122,1,1,0,0,0
1505699005023,0,HTTP Request,200,OK,Thread Group 1-83,text,true,,748,122,1,1,0,0,0
1505699005024,0,HTTP Request,200,OK,Thread Group 1-84,text,true,,748,122,1,1,0,0,0
1505699005025,0,HTTP Request,200,OK,Thread Group 1-85,text,true,,748,122,1,1,0,0,0
1505699005026,0,HTTP Request,200,OK,Thread Group 1-86,text,true,,748,122,1,1,0,0,0
1505699005027,1,HTTP Request,200,OK,Thread Group 1-87,text,true,,748,122,1,1,1,0,0
1505699005028,0,HTTP Request,200,OK,Thread Group 1-88,text,true,,748,122,1,1,0,0,0
1505699005029,0,HTTP Request,200,OK,Thread Group 1-89,text,true,,748,122,1,1,0,0,0
1505699005030,0,HTTP Request,200,OK,Thread Group 1-90,text,true,,748,122,1,1,0,0,0
1505699005031,0,HTTP Request,200,OK,Thread Group 1-91,text,true,,748,122,1,1,0,0,0
1505699005032,1,HTTP Request,200,OK,Thread Group 1-92,text,true,,748,122,1,1,1,0,0
1505699005033,1,HTTP Request,200,OK,Thread Group 1-93,text,true,,748,122,1,1,1,0,0
1505699005034,1,HTTP Request,200,OK,Thread Group 1-94,text,true,,748,122,1,1,1,0,0
1505699005035,1,HTTP Request,200,OK,Thread Group 1-95,text,true,,748,122,1,1,1,0,0
1505699005036,1,HTTP Request,200,OK,Thread Group 1-96,text,true,,748,122,1,1,1,0,1
1505699005037,1,HTTP Request,200,OK,Thread Group 1-97,text,true,,748,122,1,1,1,0,1
1505699005038,1,HTTP Request,200,OK,Thread Group 1-98,text,true,,748,122,1,1,1,0,1
1505699005039,1,HTTP Request,200,OK,Thread Group 1-99,text,true,,748,122,1,1,1,0,1
1505699005041,0,HTTP Request,200,OK,Thread Group 1-100,text,true,,748,122,1,1,0,0,0
